s_no,eng_name,songname,momentaryLoudness.mean,shortTermLoudness.mean,integratedLoudness,loudnessRange,pmfSpread,pmfSkewness,pmfKurtosis,pmfCentroid,LRImbalance,midSideRatio,crest100ms.mean,crest1sec.mean,panningCoeffs0.mean,panningCoeffs1.mean,panningCoeffs2.mean,panningCoeffs3.mean,spectralCentroid.mean,spectralEntropy.mean,spectralKurtosis.mean,spectralRollOff85.mean,spectralRollOff95.mean,spectralSkewness.mean,spectralSpread.mean,subBandFlux0.mean,subBandFlux1.mean,subBandFlux2.mean,subBandFlux3.mean,subBandFlux4.mean,subBandFlux5.mean,subBandFlux6.mean,subBandFlux7.mean,subBandFlux8.mean,subBandFlux9.mean
0,Manny Marroquin,"SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",-9.813972,-8.719983,-7.960200786590576,5.823892116546631,0.03554866835474968,0.0449414998292923,-0.4842488765716553,0.4997684359550476,0.01645604457158946,74.5864840900272,3.3174192905426025,4.240564823150635,-7.372946739196777,-0.12864431738853455,-0.7424282431602478,0.04326440766453743,0.12265252321958542,8.146347045898438,3.136583089828491,965.0390014648438,2096.138671875,1.6233625411987305,0.01999392919242382,0.4224036931991577,0.13144400715827942,0.20985890924930573,0.11174049973487854,0.09548640996217728,0.09880921244621277,0.07696888595819473,0.061520759016275406,0.03822789713740349,0.014430828392505646
1,Manny Marroquin,Esta Vida - VINNE Remix,-13.571603,-11.303463,-10.92758560180664,4.508334159851074,0.012639857828617096,0.10027945786714554,0.5619232654571533,0.49999335408210754,0.005236575476243288,11.171952099191502,3.957582473754883,69.9857177734375,-7.713339805603027,0.015589011833071709,-0.5181233882904053,0.01847274787724018,0.1290023773908615,8.396212577819824,5.587779998779297,1425.623291015625,2960.156005859375,1.8140956163406372,0.02184593491256237,0.19263258576393127,0.06444109231233597,0.1288679987192154,0.09311899542808533,0.07958940416574478,0.07125727087259293,0.058574821799993515,0.04381341487169266,0.030236266553401947,0.0104611711576581
2,Manny Marroquin,GOD'S COUNTRY,-14.180688,-12.935082,-10.25473403930664,11.679533004760742,0.01911832205951214,0.0067442734725773335,1.2187981605529785,0.500046968460083,-0.0004225907711875145,20.375252593541,3.597729444503784,5.3133864402771,-7.404868125915527,-0.015701008960604668,-0.7366765141487122,-0.0219096876680851,0.09926673024892807,7.423109531402588,24.901031494140625,1135.9710693359375,2178.648681640625,2.9342808723449707,0.016119541600346565,0.2725788354873657,0.1456274837255478,0.09700127691030502,0.0813513770699501,0.07163762301206589,0.07244507223367691,0.05687493085861206,0.041929468512535095,0.02684519998729229,0.011201644316315651
3,Manny Marroquin,Don't Get Me Wrong,-17.085995,-16.301243,-15.703100204467773,5.530607223510742,0.0027617684099823236,0.06323980540037155,0.8644552230834961,0.5,0.012673976611577752,4.811424172073406,4.5012993812561035,6.239463806152344,-6.517608165740967,0.10458954423666,-0.3322518467903137,0.06451626121997833,0.12294843047857285,8.678071022033691,4.190430641174316,1809.056396484375,3601.666748046875,1.6274045705795288,0.01697966828942299,0.0675688087940216,0.030421936884522438,0.05048219859600067,0.04967315122485161,0.05241217464208603,0.04561331123113632,0.04179267957806587,0.033463843166828156,0.022051116451621056,0.006466251332312822
4,Manny Marroquin,What A Night - Buzzer Beater Sped Up Mix,-8.3264065,-6.795037,-6.55179500579834,1.2553324699401855,0.022716457024216652,0.0032842892687767744,0.2196204662322998,0.4999770522117615,-0.026108750450126034,5.018358462924717,3.861571788787842,4.422125339508057,-6.615934371948242,0.053936220705509186,-0.49891138076782227,-0.005102838855236769,0.14031481742858887,8.484519004821777,2.971522331237793,1869.625,3738.4638671875,1.6174581050872803,0.02386881597340107,0.20398159325122833,0.07247313857078552,0.1655273586511612,0.14846786856651306,0.13674190640449524,0.11526753008365631,0.10344666242599487,0.08430077880620956,0.05831321328878403,0.017255786806344986
5,Manny Marroquin,Pulling Strings - From the Paramount+ Series Grease Rise of the Pink Ladies',-23.166708,-22.140827,-18.011638641357422,12.931268692016602,0.002617187099531293,0.033755283802747726,3.5085806846618652,0.5001864433288574,0.01121160169743777,22.72027452090043,3.672384023666382,4.865560054779053,-6.994657039642334,-0.010120399296283722,-0.7592102885246277,0.012903592549264431,0.08683963119983673,7.747531414031982,12.396651268005371,994.8987426757812,1783.0245361328125,2.87119197845459,0.014604371972382069,0.06765968352556229,0.02309737354516983,0.051695335656404495,0.03820769861340523,0.03487637639045715,0.029510414227843285,0.022120824083685875,0.013261038810014725,0.007245183922350407,0.0017530829645693302
6,Manny Marroquin,Disciples,-12.796454,-11.347451,-8.383091926574707,16.433847427368164,0.05417568236589432,-0.007746858522295952,-0.8773162364959717,0.5077729821205139,0.00012653198733846995,191.752273774942,2.4441256523132324,2.9417619705200195,-7.496387004852295,-0.07132533937692642,-0.6080389022827148,-0.06962580233812332,0.08866550028324127,6.957267761230469,22.94863510131836,398.5481872558594,785.6808471679688,3.194178342819214,0.017689909785985947,0.6609592437744141,0.37231284379959106,0.1883634775876999,0.10371467471122742,0.0752430334687233,0.06451352685689926,0.04504513740539551,0.03565450385212898,0.02420663647353649,0.009611799381673336
7,Manny Marroquin,Man's World (with James Brown),-11.622286,-10.499122,-9.385967254638672,5.251258850097656,0.026520418003201485,-0.0278738122433424,-0.031108856201171875,0.4998978078365326,-0.005139205478317716,72.4304783235579,2.9951815605163574,3.942383050918579,-8.002134323120117,-0.001450372044928372,-0.8433850407600403,-0.00938483513891697,0.09474972635507584,7.269233703613281,15.907204627990723,567.655517578125,1148.2891845703125,2.7505393028259277,0.01914234273135662,0.36936601996421814,0.15160709619522095,0.16048510372638702,0.11969248205423355,0.09294112026691437,0.0795787051320076,0.05872676521539688,0.0370117649435997,0.024810126051306725,0.007776242680847645
8,Manny Marroquin,Cheerleader,-21.55404,-15.715827,-7.63203763961792,3.3487138748168945,0.018179085105657578,-0.0027147699147462845,0.35837697982788086,0.4999009966850281,6.615344181613666e-05,2.993109321228647,3.732961416244507,31.123268127441406,-6.918926239013672,0.007185731548815966,-0.4045444130897522,0.0046713524498045444,0.19451576471328735,8.931147575378418,0.8563563227653503,3112.617919921875,5645.091796875,1.0477837324142456,0.03590081259608269,0.23026326298713684,0.09811992943286896,0.11511725932359695,0.1234469935297966,0.10676223039627075,0.09899343550205231,0.0836799144744873,0.06602948904037476,0.0562630258500576,0.022241167724132538
9,Manny Marroquin,Number 9 (feat. Lil Yachty),-10.538462,-8.843165,-8.376425743103027,5.464041709899902,0.016950884833931923,-0.03805640712380409,0.9782617092132568,0.5000563859939575,0.04255925808175538,3.9789389093879963,4.126587867736816,6.133005142211914,-6.853393077850342,-0.09012465924024582,-0.4937390089035034,0.014789693988859653,0.12294184416532516,8.263307571411133,6.4579997062683105,1623.255126953125,2902.255615234375,1.9464571475982666,0.019211966544389725,0.1855258047580719,0.07092133164405823,0.12521658837795258,0.11721497029066086,0.11345873773097992,0.09803584218025208,0.07600592076778412,0.057697609066963196,0.03848783299326897,0.01202776376157999
