Sno,era_name,songname,momentaryLoudness.mean,shortTermLoudness.mean,integratedLoudness,loudnessRange,pmfSpread,pmfSkewness,pmfKurtosis,pmfCentroid,LRImbalance,midSideRatio,crest100ms.mean,crest1sec.mean,panningCoeffs0.mean,panningCoeffs1.mean,panningCoeffs2.mean,panningCoeffs3.mean,spectralCentroid.mean,spectralEntropy.mean,spectralKurtosis.mean,spectralRollOff85.mean,spectralRollOff95.mean,spectralSkewness.mean,spectralSpread.mean,subBandFlux0.mean,subBandFlux1.mean,subBandFlux2.mean,subBandFlux3.mean,subBandFlux4.mean,subBandFlux5.mean,subBandFlux6.mean,subBandFlux7.mean,subBandFlux8.mean,subBandFlux9.mean
161,1950s,Little Darlin',-61.75312,-56.693764,-16.711610794067383,4.487113952636719,0.0021922157611697912,-0.08906041830778122,2.5040793418884277,0.500015914440155,0.0,,4.329540252685547,13.215937614440918,-229.3584442138672,-0.0013823936460539699,-0.44970768690109253,0.004147315863519907,0.17211659252643585,8.754467010498047,3.158886194229126,4832.24853515625,6465.900390625,1.4836652278900146,0.024889305233955383,0.03705587238073349,0.015993895009160042,0.03343895822763443,0.045670103281736374,0.04504581540822983,0.04346746206283569,0.035964418202638626,0.02334945648908615,0.01705925352871418,0.003894754685461521
162,1950s,Rock Around the Clock,-34.944454,-29.337582,-17.3933048248291,2.8483924865722656,0.0022356000263243914,0.04309816285967827,1.9505114555358887,0.49829041957855225,8.194591411063703e-06,439.2320288017019,4.616841793060303,11.252771377563477,-9.00415325164795,0.016884256154298782,-0.7197296023368835,0.01041698083281517,0.11311112344264984,8.368948936462402,3.368025064468384,2428.03955078125,3725.18212890625,1.5250530242919922,0.013831081800162792,0.051143258810043335,0.024644093587994576,0.045268651098012924,0.04487922415137291,0.046471212059259415,0.04383832961320877,0.03440243378281593,0.02513751946389675,0.01368546299636364,0.0038934582844376564
163,1950s,Reet Petite,-32.273014,-23.326626,-21.861268997192383,3.3742294311523438,0.0006874169339425862,0.0970064327120781,1.855238437652588,0.5000025629997253,0.002891112775662231,33.21066591122428,4.643024921417236,8.055671691894531,-12.24838638305664,0.016954438760876656,-0.7802354693412781,0.0061743492260575294,0.15840661525726318,8.824006080627441,0.9299077391624451,2809.959716796875,4934.91015625,1.160788655281067,0.02380434237420559,0.0268232598900795,0.011500165797770023,0.020474469289183617,0.023446835577487946,0.023645462468266487,0.022727368399500847,0.023285595700144768,0.017014656215906143,0.011184828355908394,0.004114298149943352
164,1950s,Chantilly Lace,-10.835899,-10.585186,-10.38320255279541,3.1797142028808594,0.009701057337224483,0.06542146950960159,0.19339370727539062,0.4819994866847992,5.651746714710282e-07,350.5618286592443,3.9417762756347656,4.562216281890869,-9.367498397827148,-0.011454885825514793,-0.6555804014205933,-0.009949029423296452,0.12515826523303986,8.754776000976562,0.9516057372093201,1746.1431884765625,3190.68701171875,1.3688523769378662,0.01812293380498886,0.0704374685883522,0.018145864829421043,0.07003655284643173,0.10165955126285553,0.11785701662302017,0.11866683512926102,0.10136771947145462,0.07640306651592255,0.04793975502252579,0.015273542143404484
165,2000s,Hanging By A Moment,-20.673212,-19.518196,-18.05366325378418,7.7923583984375,0.0015783850103616714,0.0007201855187304318,0.8118112087249756,0.5000020861625671,0.01332498179204505,4.959755492528278,4.141046047210693,5.62761116027832,-7.03421688079834,-0.1526271551847458,-0.40028315782546997,-0.04939914867281914,0.12454637140035629,8.52547836303711,4.072488784790039,1450.73388671875,3087.5654296875,1.7704845666885376,0.021524403244256973,0.048667728900909424,0.020655473694205284,0.04366606846451759,0.044954296201467514,0.039911214262247086,0.03459630161523819,0.02755691111087799,0.022729475051164627,0.014831915497779846,0.004250308033078909
166,2000s,Judith,-9.238901,-8.800266,-7.9450907707214355,5.410165786743164,0.015852781012654305,-0.004152273293584585,0.3855929374694824,0.5000130534172058,-0.0064993780790698905,6.964436666753479,4.015727519989014,4.945333957672119,-6.708188533782959,-0.01892715133726597,-0.5584522485733032,0.0019050715491175652,0.13998320698738098,8.863724708557129,2.585165500640869,2336.339599609375,4276.49267578125,1.4035332202911377,0.01891873963177204,0.1749834269285202,0.08313693851232529,0.13770583271980286,0.13322073221206665,0.09571908414363861,0.09652071446180344,0.10170701891183853,0.09570050239562988,0.06658003479242325,0.01791669800877571
167,2000s,One Step Closer,-11.79538,-10.447102,-9.117810249328613,7.752833366394043,0.010920996777713299,0.03656172379851341,0.8201239109039307,0.4998863637447357,0.029974028935561933,4.414340158507801,4.163529396057129,5.40615701675415,-6.77115535736084,-0.007267293054610491,-0.48910751938819885,-0.020814817398786545,0.12528975307941437,8.827770233154297,3.4322292804718018,1916.0838623046875,3382.488525390625,1.7378383874893188,0.01881682686507702,0.12446950376033783,0.04534580931067467,0.10402031242847443,0.10388906300067902,0.0928364247083664,0.08810169994831085,0.09091097116470337,0.07566234469413757,0.046434272080659866,0.01094625610858202
168,2000s,Take A Look Around,-10.633922,-9.907813,-7.738345146179199,7.487604141235352,0.018515607342123985,0.0023765473160892725,0.7906079292297363,0.5000190138816833,-0.046966756022898855,5.1900175708213565,3.7046656608581543,4.557946681976318,-6.832121849060059,0.020556379109621048,-0.5003405213356018,0.018202871084213257,0.11085424572229385,8.077752113342285,10.437095642089844,1122.5574951171875,2465.26025390625,2.3015756607055664,0.01930326409637928,0.18952524662017822,0.09522050619125366,0.16827601194381714,0.16775821149349213,0.1080237478017807,0.07758580148220062,0.06499965488910675,0.05665755644440651,0.04110906645655632,0.012629716657102108
169,2000s,Kryptonite,-8.837578,-7.5508833,-6.8514404296875,4.8559041023254395,0.01997830532491207,-0.0006896166014485061,0.37302350997924805,0.5000644326210022,0.0395195900487456,4.749858809648172,4.0815958976745605,4.43233585357666,-7.614387512207031,-0.08122286945581436,-0.48547908663749695,0.0376831516623497,0.12233100086450577,8.620550155639648,3.5620663166046143,1974.8570556640625,3678.369873046875,1.5694758892059326,0.016974329948425293,0.1827034205198288,0.06015241891145706,0.14708732068538666,0.142131507396698,0.14030909538269043,0.12151998281478882,0.11680059880018234,0.09381517767906189,0.0634184181690216,0.017452437430620193
170,2000s,Down with the Sickness,-11.621639,-9.067219,-8.810162544250488,2.643156051635742,0.01245694700628519,0.027528949081897736,0.2548027038574219,0.5000061988830566,-0.020476836266164877,4.008873075385924,4.207090854644775,5.087813854217529,-7.540624618530273,0.07468570023775101,-0.46451061964035034,0.004989652894437313,0.13043324649333954,8.754016876220703,3.6758930683135986,2251.481201171875,3939.35302734375,1.6215626001358032,0.017828064039349556,0.15685313940048218,0.08046945929527283,0.1380397081375122,0.11797839403152466,0.08965005725622177,0.08047444373369217,0.08555234968662262,0.0785943865776062,0.05314280465245247,0.013059847988188267
