Sno,eng_name,songname,momentaryLoudness.mean,shortTermLoudness.mean,integratedLoudness,loudnessRange,pmfSpread,pmfSkewness,pmfKurtosis,pmfCentroid,LRImbalance,midSideRatio,crest100ms.mean,crest1sec.mean,panningCoeffs0.mean,panningCoeffs1.mean,panningCoeffs2.mean,panningCoeffs3.mean,spectralCentroid.mean,spectralEntropy.mean,spectralKurtosis.mean,spectralRollOff85.mean,spectralRollOff95.mean,spectralSkewness.mean,spectralSpread.mean,subBandFlux0.mean,subBandFlux1.mean,subBandFlux2.mean,subBandFlux3.mean,subBandFlux4.mean,subBandFlux5.mean,subBandFlux6.mean,subBandFlux7.mean,subBandFlux8.mean,subBandFlux9.mean
0,Chris Lord Alge,In Another Time,-15.392208,-13.570294,-12.09902286529541,6.170373916625977,0.009308933280408382,0.05060908570885658,1.4636783599853516,0.4999943673610687,-0.0647151529835565,12.433017637655661,3.510530710220337,6.0022101402282715,-7.2761383056640625,0.10232105106115341,-0.5353711247444153,-0.038383517414331436,0.06753523647785187,6.945484638214111,29.002456665039062,667.793701171875,1168.94287109375,4.0143842697143555,0.01220125611871481,0.14052340388298035,0.056202054023742676,0.11814642697572708,0.10266339033842087,0.08945577591657639,0.06030283123254776,0.0366625115275383,0.02324170246720314,0.013132689520716667,0.0032114831265062094
1,Chris Lord Alge,What's Love Got to Do with It,-15.9578,-14.362834,-12.974638938903809,6.262589454650879,0.005601611919701099,0.11183027178049088,2.0807995796203613,0.4999949634075165,-0.005839014923835203,13.850671765843034,4.495131492614746,11.756185531616211,-7.71625280380249,-0.08423150330781937,-0.7532541155815125,-0.021332547068595886,0.11436479538679123,8.067059516906738,5.479066371917725,1356.0230712890625,2518.672119140625,2.000816583633423,0.01908775232732296,0.07220407575368881,0.030408108606934547,0.06034961715340614,0.07535960525274277,0.06491469591856003,0.062319137156009674,0.05107581987977028,0.03786153718829155,0.02214101143181324,0.005638612899929285
2,Chris Lord Alge,Shake Me Like a Monkey,-8.400035,-7.5279174,-7.184123992919922,1.7903990745544434,0.019614621996879578,0.034258097410202026,0.6884059906005859,0.5000436305999756,-0.008569791136229842,6.140208758432433,4.189964294433594,4.786755084991455,-6.523047924041748,0.020154140889644623,-0.5087894201278687,0.013653094880282879,0.15616676211357117,9.057894706726074,1.0885586738586426,2203.65185546875,4543.70458984375,1.251257300376892,0.02516048401594162,0.17062103748321533,0.08191051334142685,0.1481534242630005,0.14152953028678894,0.13271456956863403,0.12266793847084045,0.10583712160587311,0.09146954119205475,0.06711042672395706,0.02164342813193798
3,Chris Lord Alge,Anxiety,-8.566798,-8.072378,-7.760564804077148,4.708922386169434,0.018064484000205994,-0.049209825694561005,0.8018808364868164,0.500065267086029,-0.011966073565300129,4.749456574563461,4.339793682098389,4.986961841583252,-6.540031433105469,0.10393820703029633,-0.42874088883399963,0.04923856630921364,0.12805651128292084,8.652336120605469,4.84538459777832,1921.3885498046875,3670.667236328125,1.7417712211608887,0.018583174794912338,0.1820678412914276,0.05854593217372894,0.12957783043384552,0.12462139129638672,0.12947978079319,0.11521723121404648,0.09879615157842636,0.0811881422996521,0.057751163840293884,0.015882354229688644
4,Chris Lord Alge,I Can Do Better,-6.5810156,-6.3624334,-6.302046775817871,2.677061080932617,0.020162934437394142,0.007766358088701963,0.13701248168945312,0.49993520975112915,0.08534725200959896,3.2950612598012685,4.065264701843262,4.591317176818848,-6.8085737228393555,0.0018296140478923917,-0.3849436938762665,-0.026178909465670586,0.13987867534160614,9.012417793273926,2.131152391433716,2611.205810546875,4682.3037109375,1.4072256088256836,0.018797777593135834,0.16826678812503815,0.07415954023599625,0.14236092567443848,0.13531409204006195,0.13389596343040466,0.1306958943605423,0.13866688311100006,0.1185678020119667,0.08418281376361847,0.021394718438386917
5,Chris Lord Alge,In Your Dreams,-22.549715,-19.578924,-18.91346549987793,4.300680160522461,0.0015626829117536545,-0.2034689486026764,1.2629504203796387,0.49999845027923584,-0.003048787074318616,13.586885930507071,4.048182010650635,5.305486679077148,-7.159856796264648,0.018010707572102547,-0.6932405233383179,0.006063285283744335,0.09581813961267471,8.033644676208496,20.26960563659668,1532.8392333984375,2514.1474609375,2.951108455657959,0.013947426341474056,0.03313888981938362,0.011528188362717628,0.038716789335012436,0.048122044652700424,0.04577350616455078,0.03771394118666649,0.024415530264377594,0.017290456220507622,0.01003335602581501,0.002454392146319151
6,Chris Lord Alge,Brick by Boring Brick,-20.221403,-16.252865,-9.227165222167969,2.9067764282226562,0.012133129872381687,-0.0074647399596869946,0.20932221412658691,0.49998560547828674,0.02502305222736543,5.964658874449116,3.6709213256835938,5.005350112915039,-7.487071514129639,-0.05005364492535591,-0.513775110244751,0.009097762405872345,0.13862344622612,8.77822494506836,2.964707136154175,2374.93798828125,4130.98583984375,1.5980843305587769,0.020799413323402405,0.13384874165058136,0.0661674365401268,0.12094385176897049,0.11484311521053314,0.10867919027805328,0.08941277861595154,0.08967550843954086,0.07196915149688721,0.04770732671022415,0.011129796504974365
7,Chris Lord Alge,Jet Lag (feat. Natasha Bedingfield),-14.7991905,-13.141156,-12.115205764770508,4.196070671081543,0.0053420839831233025,-0.039420802146196365,1.0364527702331543,0.5000014901161194,0.007205154166804295,3.9245064315948994,4.340385913848877,5.719460964202881,-7.158967018127441,0.007728458382189274,-0.453546941280365,0.0005333544686436653,0.13980542123317719,8.793909072875977,2.8714256286621094,2454.287841796875,4102.49853515625,1.5348948240280151,0.020922571420669556,0.08554072678089142,0.034346677362918854,0.06907448172569275,0.07249075174331665,0.07386001199483871,0.06416592001914978,0.06240225210785866,0.052775777876377106,0.034607019275426865,0.00952034443616867
8,Chris Lord Alge,American Idiot,-16.134981,-13.105786,-10.994648933410645,2.6714162826538086,0.007672920823097229,0.05835670232772827,0.5243637561798096,0.499921590089798,-0.03442704879396163,5.94638166851049,3.9885241985321045,5.105925559997559,-7.978592872619629,0.09749044477939606,-0.5150914788246155,0.00971023365855217,0.1348736733198166,8.84614086151123,3.232783555984497,2037.111572265625,3683.6640625,1.5870981216430664,0.020538100972771645,0.10967212170362473,0.05210045352578163,0.09020853042602539,0.08818338066339493,0.07429862767457962,0.07134836167097092,0.07053714990615845,0.06480198353528976,0.04015558958053589,0.009800476022064686
9,Chris Lord Alge,Good Riddance (Time of Your Life),-17.89755,-14.47908,-12.223733901977539,11.721821784973145,0.0058464957401156425,-0.06483354419469833,1.7538743019104004,0.49999701976776123,-0.004960762088432218,4.24971112218075,4.245919704437256,5.990588665008545,-8.804764747619629,0.010496091097593307,-0.8708072900772095,-0.01806475780904293,0.11367548257112503,8.123433113098145,5.382650852203369,1486.751220703125,2790.076416015625,2.0835013389587402,0.019779443740844727,0.06088753417134285,0.025172729045152664,0.07072460651397705,0.08596855401992798,0.08517690002918243,0.07919616997241974,0.05466208606958389,0.03726978227496147,0.022838851436972618,0.005715342238545418
